id,persons,children,femaleAdult,stayType,season
100251,1,0,0,5,1
100381,4,1,1,6,1
100391,4,1,1,6,1
100411,1,0,0,5,1
100441,2,1,1,5,1
100471,6,4,1,5,1
100481,4,1,1,2,1
100491,4,2,1,4,1
100511,3,1,1,5,1
100751,1,0,1,6,1
100761,2,0,1,6,1
100771,5,1,1,6,1
100781,3,0,1,6,1
100811,4,2,1,2,1
100821,3,0,1,2,1
100831,3,2,0,6,1
100841,2,0,0,6,1
100851,7,4,1,6,1
100861,2,0,1,6,1
100871,2,0,1,6,1
100901,2,0,1,2,1
100951,3,1,1,5,1
100961,2,0,1,5,1
100971,5,3,1,6,1
100991,8,3,1,5,1
101051,4,2,1,2,1
101071,6,4,1,2,1
101101,2,0,1,3,1
101121,2,0,1,3,1
101131,2,0,1,3,1
101141,3,1,1,3,1
101151,2,0,1,5,1
101161,5,2,1,2,1
101171,3,0,1,3,1
101181,2,0,1,3,1
101191,2,0,1,3,1
101201,2,0,1,3,1
101261,2,1,1,5,1
101271,4,2,1,5,1
101281,4,3,1,5,1
101301,2,0,1,2,1
101321,2,0,1,2,1
101331,2,0,1,5,1
101341,4,0,1,5,1
101351,4,2,1,2,1
101361,2,0,1,2,1
101401,4,1,1,2,1
101421,4,1,1,2,1
101431,2,0,1,2,1
101491,4,2,1,2,1
101501,4,2,1,6,1
101571,1,0,0,5,1
101591,2,0,1,2,1
101601,2,0,1,5,1
101611,5,2,1,5,1
101631,3,0,1,5,1
101691,4,2,1,5,1
101701,3,1,1,2,1
101711,1,0,1,3,1
101731,2,0,1,5,1
101741,2,0,1,5,1
101761,3,1,1,5,1
101791,4,2,1,5,1
101821,3,0,1,5,1
101831,5,3,1,6,1
101841,3,0,1,5,1
101851,2,0,1,5,1
101871,1,0,1,2,1
101881,2,0,1,2,1
101891,2,0,1,2,1
101901,2,0,0,2,1
101961,3,2,0,5,1
101981,4,0,1,5,1
101991,5,4,0,5,1
102031,2,0,1,5,1
102071,3,0,1,4,1
102081,2,0,1,3,1
102091,2,0,1,3,1
102101,4,2,1,5,1
102111,2,0,1,6,1
102121,2,0,1,3,1
102131,4,0,1,6,1
102181,2,0,1,5,1
102201,2,0,1,5,1
102211,2,0,1,5,1
102221,4,2,1,2,1
102231,2,0,1,5,1
102251,2,0,1,5,1
102261,1,0,0,5,1
102281,2,0,1,2,1
102321,2,0,1,5,1
102331,2,0,1,2,1
102341,2,0,1,2,1
102351,5,3,1,2,1
102371,4,2,1,2,1
102381,2,0,1,3,1
102421,2,0,1,6,1
102451,1,0,0,3,1
102481,2,0,1,2,1
102491,4,0,1,4,1
102511,3,1,1,3,1
102531,3,0,1,5,1
102551,4,0,1,4,1
102561,1,0,0,2,1
102581,1,0,0,3,1
102591,2,0,1,3,1
400111,6,2,1,5,1
400121,1,0,1,5,1
400131,2,0,1,5,1
400161,4,2,1,6,1
400171,2,1,1,5,1
400191,1,0,1,6,1
400201,6,4,1,6,1
400211,6,4,1,6,1
400241,2,0,1,6,1
400251,4,0,1,6,1
400261,2,0,1,2,1
400271,5,3,1,6,1
400281,4,0,1,2,1
400291,4,3,0,6,1
400301,4,2,1,6,1
400311,4,2,1,5,1
400341,5,3,1,5,1
400471,2,0,1,5,1
400481,2,1,0,6,1
400601,2,0,1,3,1
400611,2,0,1,3,1
400631,2,0,1,3,1
400661,1,0,0,6,1
400721,7,1,1,5,1
400761,2,0,1,3,1
400771,3,0,1,6,1
400781,5,3,1,5,1
400811,4,2,1,5,1
400831,3,0,1,3,1
400841,3,0,1,3,1
400871,4,2,1,3,1
400921,3,0,1,5,1
400931,5,3,1,5,1
400961,3,1,1,2,1
401031,4,2,1,2,1
401041,2,0,1,2,1
401061,5,3,1,5,1
401111,5,3,1,2,1
401121,3,0,1,2,1
401131,1,0,1,2,1
401141,4,2,1,2,1
401181,3,1,0,5,1
401191,2,0,1,5,1
401221,3,1,1,2,1
401241,4,2,1,5,1
401251,4,2,1,5,1
401271,2,0,1,5,1
401281,2,0,1,5,1
401291,4,0,1,5,1
401301,2,0,1,5,1
401311,2,0,0,2,1
401321,3,1,1,6,1
401331,4,2,1,5,1
401341,2,0,1,2,1
500161,4,2,1,2,1
500201,2,0,1,5,1
500221,4,1,1,6,1
500231,2,0,1,2,1
500251,6,2,1,6,1
500261,6,2,1,6,1
500291,2,0,1,3,1
500301,1,0,0,6,1
500311,3,0,1,3,1
500321,4,2,1,6,1
500331,4,2,1,2,1
500431,4,1,1,5,1
500481,4,2,1,6,1
500511,8,6,1,6,1
500561,2,0,1,5,1
500601,2,0,1,5,1
500611,5,4,1,6,1
500641,5,3,1,6,1
500651,4,0,1,5,1
500731,2,0,1,3,1
500741,2,0,1,3,1
500771,5,2,1,5,1
500781,4,2,1,6,1
500791,3,1,1,2,1
500801,4,2,1,2,1
500811,3,0,1,3,1
500851,2,0,1,5,1
500861,5,3,1,5,1
500881,4,0,1,3,1
500891,6,2,1,6,1
500901,4,0,1,2,1
500921,4,0,1,6,1
500951,3,0,1,5,1
500991,2,0,1,2,1
501001,2,0,1,2,1
501011,5,1,1,5,1
501031,1,0,0,5,1
501041,2,2,0,2,1
501051,4,0,1,5,1
501071,4,0,1,3,1
501081,4,0,1,3,1
501101,4,0,1,5,1
501111,4,0,1,5,1
501121,4,0,1,5,1
501131,4,0,1,5,1
501141,3,1,1,5,1
501151,2,0,0,2,1
501191,4,0,1,2,1
501201,3,0,1,2,1
501211,3,0,1,2,1
501221,3,0,1,2,1
501231,2,0,1,2,1
501261,2,0,1,2,1
501291,4,2,1,3,1
501301,1,0,0,3,1
501311,2,0,1,5,1
501321,3,0,1,3,1
501331,3,0,1,5,1
501341,3,0,1,6,1
501361,2,0,1,3,1
501391,2,0,1,3,1
501401,1,0,1,2,1
501431,2,0,1,3,1
501461,2,0,0,3,1
501491,1,0,0,3,1
501511,4,2,1,6,1
501521,2,0,1,6,1
501551,2,0,1,6,1
501571,3,1,1,2,1
501591,2,0,1,6,1
501631,2,0,1,3,1
501711,2,0,0,3,1
501761,2,0,1,5,1
600141,1,0,0,5,1
600151,2,0,1,5,1
600161,3,1,1,6,1
600181,4,2,1,6,1
600191,4,3,0,6,1
600221,4,2,1,5,1
600231,3,1,1,5,1
600241,4,2,1,5,1
600261,6,4,1,5,1
600271,2,0,1,6,1
600311,2,0,1,5,1
600391,2,0,1,5,1
600401,2,0,1,5,1
600411,1,0,1,2,1
600421,3,0,1,5,1
600431,3,0,1,5,1
600441,5,3,1,5,1
600461,3,1,1,5,1
600511,3,1,1,6,1
600521,5,4,1,6,1
600541,2,0,1,6,1
600561,2,0,1,5,1
600661,4,2,1,2,1
600681,3,0,1,3,1
600711,2,0,1,3,1
600731,2,0,1,3,1
600741,3,1,1,3,1
600771,2,0,1,3,1
600781,5,2,1,6,1
600801,3,0,1,5,1
600841,2,0,0,3,1
