taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,172,0.243786982,42,36,0,7,2.142722665,90,13,445,54,0,71
110,22,0.340942626,11,7,2,3,2.356704786,30,117,817,23,0,154
111,215,0.243786982,53,45,0,9,2.142722665,113,73,251,4,0,88
112,1135,0.568789919,651,383,131,139,2.419677306,1586,0,136,7,0,23
113,427,0.562160285,247,153,46,49,2.70260628,657,79,86,3,0,40
114,308,0.536576765,166,85,5,77,2.656282388,440,0,24,0,0,18
115,283,0.515822785,146,87,26,34,2.741872604,401,0,0,0,0,101
116,4,0.515822785,3,2,1,1,2.741872604,6,0,0,0,0,0
117,0,0.517152798,0,0,0,0,2.642014281,0,7,124,441,0,0
118,314,0.551079137,174,65,66,43,2.792648023,484,51,350,154,0,70
119,133,0.542252144,72,40,21,13,2.269817443,158,30,176,56,0,62
120,24,0.538732624,13,8,4,3,2.10210233,28,0,121,16,0,231
121,416,0.539737277,225,127,62,37,2.120859657,475,0,8,0,0,3
122,0,0.551079137,0,0,0,0,2.792648023,0,0,0,0,0,0
123,584,0.600165086,356,233,63,60,2.629875349,925,0,2,0,0,19
124,369,0.603826978,223,132,71,21,3.462571084,767,12,85,6,0,57
125,284,0.448154657,128,60,26,43,2.873888692,366,0,4,0,0,3
126,292,0.631282469,183,94,13,78,2.433418446,444,0,0,0,0,62
127,10,0.539249147,6,4,2,1,2.091947246,12,0,0,0,0,207
128,0,0.539249147,0,0,0,0,2.091947246,0,64,0,0,0,107
129,0,0.539249147,0,0,0,0,2.091947246,0,0,0,0,0,0
130,0,0.551079137,0,0,0,0,2.792648023,0,0,0,0,0,8
131,0,0.539249147,0,0,0,0,2.091947246,0,0,0,0,0,375
132,0,0.539249147,0,0,0,0,2.091947246,0,0,0,0,0,0
133,118,0.551079137,66,25,25,16,2.792648023,182,0,0,0,0,5
134,381,0.566261583,216,89,27,101,2.562080489,547,0,0,0,0,0
135,134,0.448154657,61,29,13,21,2.873888692,173,0,0,0,0,0
136,0,0.461688283,0,0,0,0,2.847485475,0,0,0,0,0,0
137,396,0.622597019,255,117,54,85,2.06719423,505,0,14,0,0,6
138,694,0.554753791,388,179,73,138,2.092787667,791,7,141,12,0,52
139,558,0.488542471,274,143,52,80,1.987530865,536,3,22,0,0,102
140,152,0.652723105,100,56,42,3,2.249178924,226,15,42,6,0,16
141,364,0.656804734,240,134,100,6,2.254428586,539,25,58,0,0,54
142,962,0.60015654,587,331,144,113,2.855806159,1620,26,61,1,0,62
